ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Bahia;Recôncavo;7-AG-17-BA;7AG  0017  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;21,9198;0,0000;21,9198;7,2983;0,0000;7,2983;0,00000;210,6731;;;0
Bahia;Recôncavo;7-DJ-97-BA;7DJ  0097  BA       ;DOM JOÃO;Petrobras;480000036449737;2013/01;8,7966;0,0000;8,7966;0,0112;0,0000;0,0112;0,34674;35,1820;;;0
Bahia;Recôncavo;7-AG-21-BA;7AG  0021  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;65,6758;0,0000;65,6758;1,4312;0,0000;1,4312;0,00000;228,6640;;;0
Bahia;Recôncavo;7-DJ-108-BA;7DJ  0108  BA       ;DOM JOÃO;Petrobras;480000036449737;2013/01;17,3053;0,0000;17,3053;0,0220;0,0000;0,0220;0,68220;356,6361;;;0
Bahia;Recôncavo;7-AG-8-BA;7AG  0008  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;14,3193;0,0000;14,3193;0,0652;0,0000;0,0652;0,00000;76,3051;;;0
Alagoas;Alagoas;3-JA-2-AL;3JA  0002  AL       ;JEQUIÁ;Petrosynergy;480000038569713;2013/01;8,3852;0,0000;8,3852;0,0467;0,0000;0,0467;1,44646;21,4554;;;0
Bahia;Recôncavo;7-AG-34-BA;7AG  0034  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;39,7670;0,0000;39,7670;0,6368;0,0000;0,6368;0,00000;907,0632;PLATAFORMA DE CACAO 3;UEP;0
Bahia;Recôncavo;7-AG-36-BA;7AG  0036  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;16,8500;0,0000;16,8500;0,0567;0,0000;0,0567;0,00000;544,8128;PLATAFORMA DE CACAO 3;UEP;0
Bahia;Recôncavo;7-MJ-22-BA;7MJ  0022  BA       ;MATA DE SÃO JOÃO;Petrobras;480000036709747;2013/01;0,0000;0,0000;0,0000;0,3482;0,0000;0,3482;10,51172;0,0000;PLATAFORMA DE CURIMÃ 2;UEP;0
Bahia;Recôncavo;7-AG-48-BA;7AG  0048  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;23,1782;0,0000;23,1782;0,4361;0,0000;0,4361;0,00000;233,3832;PLATAFORMA DE CURIMÃ 2;UEP;0
Bahia;Recôncavo;6-MJC-1D-BA;6MJC 0001D BA       ;MATA DE SÃO JOÃO;Petrobras;480000036709747;2013/01;6,9683;0,0000;6,9683;0,3460;0,0000;0,3460;10,44330;69,6787;PLATAFORMA DE CURIMÃ 1;UEP;0
Bahia;Recôncavo;7-AG-52-BA;7AG  0052  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;27,9371;0,0000;27,9371;0,0053;0,0000;0,0053;0,00000;2.121,0682;PLATAFORMA DE CURIMÃ 1;UEP;0
Bahia;Recôncavo;1-CS-1-BA;1CS  0001  BA       ;CASSARONGONGO;Petrobras;480000036409786;2013/01;3,5811;0,0000;3,5811;0,0113;0,0000;0,0113;0,31582;3,5943;PLATAFORMA DE CURIMÃ 1;UEP;0
Bahia;Recôncavo;7-AG-74-BA;7AG  0074  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2013/01;47,2549;0,0000;47,2549;1,8418;0,0000;1,8418;0,00000;668,7259;PLATAFORMA DE CURIMÃ 1;UEP;0
