ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Bahia;Recôncavo;7-C-10-BA;7C   0010  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;2,9270;0,0000;2,9270;1,0265;0,0000;1,0265;0,00000;0,0030;FPSO Polvo;UEP;483
Bahia;Recôncavo;7-C-25-BA;7C   0025  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,5811;0,0000;0,5811;0,5615;0,0000;0,5615;0,00000;0,0000;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-40-BA;7C   0040  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,3252;0,0000;0,3252;0,0253;0,0000;0,0253;0,00000;0,0000;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-42-BA;7C   0042  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,8850;0,0000;0,8850;0,3488;0,0000;0,3488;0,00000;0,0000;FPSO Polvo;UEP;0
Bahia;Recôncavo;7-C-41-BA;7C   0041  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,7436;0,0000;0,7436;0,3422;0,0000;0,3422;0,00000;0,0047;FPSO Polvo;UEP;0
Bahia;Recôncavo;7-C-18-BA;7C   0018  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;4,8778;0,0000;4,8778;0,4290;0,0000;0,4290;0,00000;0,1999;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-46-BA;7C   0046  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;1,9509;0,0000;1,9509;4,3796;0,0000;4,3796;0,00000;0,0030;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-50-BA;7C   0050  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;4,5532;0,0000;4,5532;0,5322;0,0000;0,5322;0,00000;0,0008;FPSO Polvo;UEP;470
Bahia;Recôncavo;7-C-76-BA;7C   0076  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,9755;0,0000;0,9755;0,0760;0,0000;0,0760;0,00000;0,0000;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-74-BA;7C   0074  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;5,2027;0,0000;5,2027;5,0690;0,0000;5,0690;0,00000;0,0227;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-52-BA;7C   0052  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,6505;0,0000;0,6505;0,5994;0,0000;0,5994;0,00000;0,0000;FPSO Polvo;UEP;470
Bahia;Recôncavo;7-C-56-BA;7C   0056  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;0,3648;0,0000;0,3648;0,1753;0,0000;0,1753;0,00000;0,0201;FPSO Polvo;UEP;0
Bahia;Recôncavo;7-C-61-BA;7C   0061  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;7,1544;0,0000;7,1544;0,7806;0,0000;0,7806;0,00000;0,0690;FPSO Polvo;UEP;297
Bahia;Recôncavo;7-DJ-41-BA;7DJ  0041  BA       ;DOM JOÃO;Petrobras;480000036449737;2014/08;11,6944;0,0000;11,6944;0,0149;0,0000;0,0149;0,46098;67,3186;FPSO Polvo;UEP;482
Bahia;Recôncavo;7-C-73-BA;7C   0073  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;4,8778;0,0000;4,8778;0,7603;0,0000;0,7603;0,00000;0,0215;Unidade de Produção Terrestre - Tartaruga;UEP;158
Bahia;Recôncavo;7-RS-12-BA;7RS  0012  BA       ;RIO DA SERRA;Petrobras;480000036859714;2014/08;16,6842;0,0000;16,6842;0,0138;0,0000;0,0138;0,42744;221,0002;FPSO Fluminense;UEP;0
Bahia;Recôncavo;7-DJ-62-BA;7DJ  0062  BA       ;DOM JOÃO;Petrobras;480000036449737;2014/08;11,0066;0,0000;11,0066;0,0140;0,0000;0,0140;0,43389;165,9445;FPSO Fluminense;UEP;744
Bahia;Recôncavo;7-DJ-126-BA;7DJ  0126  BA       ;DOM JOÃO;Petrobras;480000036449737;2014/08;22,2485;0,0000;22,2485;0,0007;0,0000;0,0007;0,02176;64,6505;FPSO Fluminense;UEP;744
Bahia;Recôncavo;7-C-85-BA;7C   0085  BA       ;CANDEIAS;Petrobras;480000036389734;2014/08;1,3825;0,0000;1,3825;0,4988;0,0000;0,4988;0,00000;0,0286;FPSO Fluminense;UEP;737
Bahia;Recôncavo;7-AG-17-BA;7AG  0017  BA       ;ÁGUA GRANDE;Petrobras;480000036299743;2014/08;20,3962;0,0000;20,3962;0,4823;0,0000;0,4823;0,00000;345,1002;FPSO Fluminense;UEP;740
Bahia;Recôncavo;7-DJ-97-BA;7DJ  0097  BA       ;DOM JOÃO;Petrobras;480000036449737;2014/08;4,4418;0,0000;4,4418;0,0056;0,0000;0,0056;0,17500;46,5393;FPSO Fluminense;UEP;740
