Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Alagoas;Alagoas;7-PIR-257D-AL;7PIR257DAL;PILAR;Origem Alagoas;480000038599701;2022/11;0;54,3884;54,3884;0;5,8394;5,8394;175,07879;37,4685;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;701;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-258D-AL;7PIR258DAL;PILAR;Origem Alagoas;480000038599701;2022/11;0;0;0;6,9208;0;6,9208;207,50277;1,3274;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;716;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-262D-AL;7PIR262DAL;PILAR;Origem Alagoas;480000038599701;2022/11;0;0;0;,6287;0;,6287;18,84993;43,8359;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;719;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-264D-AL;7PIR264DAL;PILAR;Origem Alagoas;480000038599701;2022/11;0;0;0;4,3846;0;4,3846;131,46058;0;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;719;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-265D-AL;7PIR265DAL;PILAR;Origem Alagoas;480000038599701;2022/11;,9485;0;,9485;,6021;0;,6021;18,05311;8,0814;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;632;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-267D-AL;7PIR267DAL;PILAR;Origem Alagoas;480000038599701;2022/11;4,8891;0;4,8891;1,2351;0;1,2351;37,03141;15,414;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;619;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-268D-AL;7PIR268DAL;PILAR;Origem Alagoas;480000038599701;2022/11;170,4471;0;170,4471;4,9192;0;4,9192;147,48897;63,8659;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;714;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-271D-AL;7PIR271DAL;PILAR;Origem Alagoas;480000038599701;2022/11;0;,5486;,5486;0;8,5926;8,5926;257,62813;1,1373;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;718;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-272D-AL;7PIR272DAL;PILAR;Origem Alagoas;480000038599701;2022/11;13,1814;0;13,1814;,199;0;,199;5,96531;138,3597;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;672;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-273D-AL;7PIR273DAL;PILAR;Origem Alagoas;480000038599701;2022/11;21,111;0;21,111;5,298;0;5,298;158,84822;32,1057;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;718;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
Alagoas;Alagoas;7-PIR-276D-AL;7PIR276DAL;PILAR;Origem Alagoas;480000038599701;2022/11;20,4868;0;20,4868;,549;0;,549;16,46114;20,6189;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;707;2017/02;Alagoano;40,8;< 210ºC;30,74%;210ºC a 500ºC;48,66%;> 500ºC;20,6%;81,14;8,507;3,513;,494;1,388;,365;,402;,459;,171;,19;,038;,019;,044;0;2,46;,81;2,04191;533,04214;39017,4816;10/10/2025
