ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Rio Grande do Norte;Potiguar;1-STAR-10-RN;1CNB1RN             ;SABIÁ BICO-DE-OSSO;SHB;48610009128200500;2013/05;126,4172;0,0000;126,4172;0,8621;0,0000;0,8621;26,72378;0,0000;PLATAFORMA DE CURIMÃ 2;UEP;0
Rio Grande do Norte;Potiguar;3-STAR-13-RN;3CNB2RN             ;SABIÁ BICO-DE-OSSO;SHB;48610009128200500;2013/05;30,7557;0,0000;30,7557;0,7363;0,0000;0,7363;22,82669;0,0000;PLATAFORMA DE CURIMÃ 1;UEP;0
Rio Grande do Norte;Potiguar;3-STAR-15-RN;3PBC2RN             ;SABIÁ BICO-DE-OSSO;SHB;48610009128200500;2013/05;149,5173;0,0000;149,5173;0,7845;0,0000;0,7845;24,31874;0,0000;PLATAFORMA DE CURIMÃ 1;UEP;0
Rio Grande do Norte;Potiguar;3-STAR-28-RN;3PBC3RN             ;SABIÁ BICO-DE-OSSO;SHB;48610009128200500;2013/05;32,2980;0,0000;32,2980;0,2530;0,0000;0,2530;7,84300;0,0000;PLATAFORMA DE CURIMÃ 1;UEP;0
Rio Grande do Norte;Potiguar;1-STAR-11-RN;1PRR1RN             ;SABIÁ DA MATA;SHB;48610009128200500;2013/05;204,4306;0,0000;204,4306;0,5646;0,0000;0,5646;17,50129;0,0000;PLATAFORMA DE CURIMÃ 1;UEP;0
Rio Grande do Norte;Potiguar;3-STAR-14-RN;3PRR2RN             ;SABIÁ DA MATA;SHB;48610009128200500;2013/05;6,6706;0,0000;6,6706;0,0184;0,0000;0,0184;0,57107;6,3602;PLATAFORMA DE CURIMÃ 1;UEP;0
Rio Grande do Norte;Potiguar;3-STAR-29-RN;3PRR3RN             ;SABIÁ DA MATA;SHB;48610009128200500;2013/05;471,9735;0,0000;471,9735;1,4857;0,0000;1,4857;46,05824;0,0000;PLATAFORMA DE CURIMÃ 1;UEP;0
Sergipe;Sergipe;1-STAR-5D-SE;1CJU1DSE            ;ARACUÃ;SHB;48610009202200500;2013/05;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE CURIMÃ 1;UEP;0
Sergipe;Sergipe;1-GALP-11-SE;ANANDA              ;RABO BRANCO;Petrogal Brasil;48610009198200500;2013/05;5,3037;0,0000;5,3037;0,0084;0,0000;0,0084;0,26100;12,1738;PLATAFORMA DE CARAPEBA-I;UEP;0
