Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Bahia;Recôncavo;7-RCB-72-BA;7RCB 0072  BA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;,5894;0;,5894;,0301;0;,0301;,925;32,4574;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;113;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;8-RCB-38-BA;8RCB 0038  BA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;,7592;0;,7592;,0388;0;,0388;1,192;,0881;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;113;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;7-FI-122D-BA;7FI122DBA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;2,6756;0;2,6756;,0453;0;,0453;1,39;4,6187;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;83;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;1-BRSA-1304-BA;1FPA1BA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;2,6143;0;2,6143;,1084;0;,1084;3,328;57,161;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;110;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;7-RCB-57-BA;7RCB 0057  BA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;,8193;0;,8193;,0127;0;,0127;,389;,4001;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;111;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;7-FI-116D-BA;7FI116DBA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;,9603;0;,9603;,0191;0;,0191;,587;8,0321;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;88;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;7-RCB-77D-BA;7RCB77DBA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;,8966;0;,8966;,077;0;,077;2,364;9,0957;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;113;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;7-FI-112D-BA;7FI112DBA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;1,022;0;1,022;,0204;0;,0204;,625;10,1783;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;86;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;7-FI-113D-BA;7FI113DBA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;2,0154;0;2,0154;,0643;0;,0643;1,973;64,3003;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;107;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
Bahia;Recôncavo;8-RCB-67-BA;8RCB 0067  BA;FAZENDA IMBÉ;Petrobras;480000036519701;2023/01;,2609;0;,2609;,0224;0;,0224;,687;31,4097;Estação Coletora Fazenda Imbé;INSTALACAO EMB/DESEMB;113;2022/02;Baiano Mistura;36,5;< 210ºC;19,1%;210ºC a 500ºC;49,7%;> 500ºC;31,2%;93,32;2,59;1,53;,29;,36;,11;,13;,13;,09;,03;0;0;0;,02;1,1;,3;2,01139;529,39349;37928,5216;09/10/2025
