Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Bahia;Recôncavo;1-IMET-3-BA;1PRP1BA;CARDEAL DO NORDESTE;Recôncavo Energia SP;48610001440200898;2021/09;0;14,8071;14,8071;0;92,5705;92,5705;2775,80506;,0132;Ponto de Entrega Prosperidade I;INSTALACAO EMB/DESEMB;720;;;;< ºC;%;;%;> ºC;%;84,75;8,56;3,23;2,27;0;0;0;0;0;0;0;0;0;0;1;,19;2,07628;537,23428;39837,5125;10/10/2025
Bahia;Recôncavo;1-IMET-10D-BA;1EVO1BA;CARDEAL DO NORDESTE;Recôncavo Energia SP;48610001440200898;2021/09;0;0;0;0;87,1676;87,1676;2613,79282;0;Ponto de Entrega Prosperidade I;INSTALACAO EMB/DESEMB;720;;;;< ºC;%;;%;> ºC;%;84,75;8,56;3,23;2,27;0;0;0;0;0;0;0;0;0;0;1;,19;2,07628;537,23428;39837,5125;10/10/2025
Bahia;Recôncavo;7-CARN-1D-BA;7-LBD-1D-BA;CARDEAL DO NORDESTE;Recôncavo Energia SP;48610001440200898;2021/09;0;8,5023;8,5023;0;49,9813;49,9813;1498,7316;1,4149;Ponto de Entrega Prosperidade I;INSTALACAO EMB/DESEMB;720;;;;< ºC;%;;%;> ºC;%;84,75;8,56;3,23;2,27;0;0;0;0;0;0;0;0;0;0;1;,19;2,07628;537,23428;39837,5125;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-27-RN;7PML27RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;10,1441;0;10,1441;,0016;0;,0016;,04647;96,2256;Estação Coletora de Ponta do Mel;UEP;568;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-29-RN;7PML29RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;0;0;0;0;0;0;0;0;;;0;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-30-RN;7PML30RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;0;0;0;0;0;0;0;0;;;0;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-31-RN;7PML31RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;0;0;0;0;0;0;0;0;;;0;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-35-RN;7PML35RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;14,4647;0;14,4647;,0023;0;,0023;,06627;19,1039;Estação Coletora de Ponta do Mel;UEP;716;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-39-RN;7PML39RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;29,1738;0;29,1738;,0046;0;,0046;,13365;161,1843;Estação Coletora de Ponta do Mel;UEP;696;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-34-RN;7PML34RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;43,3792;0;43,3792;,0069;0;,0069;,19874;288,2066;Estação Coletora de Ponta do Mel;UEP;707;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-38-RN;7PML38RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;27,468;0;27,468;,0044;0;,0044;,12584;,5705;Estação Coletora de Ponta do Mel;UEP;712;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-37-RN;7PML37RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;10,4115;0;10,4115;,0017;0;,0017;,04769;33,7605;Estação Coletora de Ponta do Mel;UEP;714;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-42-RN;7PML42RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;59,9858;0;59,9858;,0095;0;,0095;,27482;2,0502;Estação Coletora de Ponta do Mel;UEP;665;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-41-RN;7PML41RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;12,1408;0;12,1408;,0019;0;,0019;,05561;115,621;Estação Coletora de Ponta do Mel;UEP;710;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-40-RN;7PML40RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;1,667;0;1,667;,0003;0;,0003;,00763;2,0142;Estação Coletora de Ponta do Mel;UEP;712;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-14-RN;7PML 0014  RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;3,6555;0;3,6555;,0006;0;,0006;,01674;17,8431;Estação Coletora de Ponta do Mel;UEP;714;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-16-RN;7PML 0016  RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;7,9;0;7,9;,0013;0;,0013;,03619;45,7856;Estação Coletora de Ponta do Mel;UEP;716;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-18-RN;7PML 0018  RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;8,333;0;8,333;,0013;0;,0013;,03817;156,49;Estação Coletora de Ponta do Mel;UEP;719;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;7-PML-20-RN;7PML 0020  RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;18,0809;0;18,0809;,0029;0;,0029;,08283;435,4211;Estação Coletora de Ponta do Mel;UEP;691;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;1-RO-1-RN;1RO  0001  RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;7,7962;0;7,7962;,0012;0;,0012;,03571;85,9998;Estação Coletora de Ponta do Mel;UEP;714;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
Rio Grande do Norte;Potiguar;3-PML-3-RN;3PML 0003  RN;PONTA DO MEL;3R Potiguar;480000038169791;2021/09;0;0;0;0;0;0;0;0;;;0;;;;< ºC;%;;%;> ºC;%;73,2561;11,7358;6,6518;1,3967;2,1575;,7453;,6624;,7169;,4033;,1329;,0108;,0004;0;,0127;1,3488;,7686;2,04107;532,95132;40686,1572;10/10/2025
