Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Bahia;Recôncavo;7-TIE-1D-BA;7TIE1DBA;TIÊ;SPE Tiêta;48610001427200839A;2022/03;431,8619;0;431,8619;23,7612;0;23,7612;736,40213;206,8718;Ponto de Coleta do PA-1ALV2BA-REC-T-155;INSTALACAO EMB/DESEMB;725;2021/02;Tiê;38,67;< 210ºC;22,53%;210ºC a 500ºC;37,11%;> 500ºC;40,36%;75,1789;9,436;5,9708;1,546;2,1644;,746;,6504;,1813;0;0;0;0;0;0;3,6784;,4478;2,06058;535,31606;39042,6714;10/10/2025
Bahia;Recôncavo;7-TIE-2DB-BA;7TIE2DBBA;TIÊ;SPE Tiêta;48610001427200839A;2022/03;767,1144;0;767,1144;34,8369;0;34,8369;1079,65858;192,4683;Ponto de Coleta do PA-1ALV2BA-REC-T-155;INSTALACAO EMB/DESEMB;744;2021/02;Tiê;38,67;< 210ºC;22,53%;210ºC a 500ºC;37,11%;> 500ºC;40,36%;75,1789;9,436;5,9708;1,546;2,1644;,746;,6504;,1813;0;0;0;0;0;0;3,6784;,4478;2,06058;535,31606;39042,6714;10/10/2025
Rio Grande do Norte;Potiguar;9-MO-14-RN;9MO  0014  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;1,642;0;1,642;,0058;0;,0058;,17953;,0954;Ponto de Coleta MO-14 (Mossoró);INSTALACAO EMB/DESEMB;743;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;3-MO-28-RN;3MO  0028  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;1,4006;0;1,4006;,0039;0;,0039;,12244;4,5654;Ponto de Coleta MO-28 (Mossoró);INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-30-RN;7MO  0030  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-FSJ-8-RN;7FSJ 0008  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-41-RN;7MO  0041  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-FSJ-12-RN;7FSJ 0012  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;3-BRSA-1033-RN;3MO84RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;2,8629;0;2,8629;,0005;0;,0005;,01395;177,6957;Estação Coletora Cajazeiras C;INSTALACAO EMB/DESEMB;743;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-86D-RN;7MO86DRN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-87D-RN;7MO87DRN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;9,358;0;9,358;,0015;0;,0015;,04598;156,738;Est. Coletora/Sist. Produção/Escoamento de Mossoró;INSTALACAO EMB/DESEMB;737;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-85-RN;7MO85RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;13,7272;0;13,7272;,0022;0;,0022;,06751;64,4154;Est. Coletora/Sist. Produção/Escoamento de Mossoró;INSTALACAO EMB/DESEMB;743;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-88D-RN;7MO88DRN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;22,6182;0;22,6182;,0036;0;,0036;,11132;424,6681;Estação Coletora Cajazeiras C;INSTALACAO EMB/DESEMB;741;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-90D-RN;7MO90DRN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;15,9593;0;15,9593;,0025;0;,0025;,07851;349,9218;Estação Coletora Cajazeiras C;INSTALACAO EMB/DESEMB;736;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-91D-RN;7MO91DRN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;6-MO-57-RN;6MO  0057  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;,0879;0;,0879;0;0;0;,00043;,1412;Estação Coletora MO-A;INSTALACAO EMB/DESEMB;6;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-61-RN;7MO  0061  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-62-RN;7MO  0062  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;,4411;0;,4411;,0014;0;,0014;,04397;16,5095;Estação Coletora MO-A;INSTALACAO EMB/DESEMB;599;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Rio Grande do Norte;Potiguar;7-MO-63-RN;7MO  0063  RN;MOSSORÓ;3R Potiguar;480000038119777;2022/03;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;10/10/2025
Bahia;Recôncavo;3-RO-4DC-BA;3RO  0004DCBA;REMANSO;PetroRecôncavo;480000036719718;2022/03;0;0;0;12,2669;0;12,2669;378,95531;0;Estação S. Roque;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
Bahia;Recôncavo;7-RO-91-BA;7RO  0091  BA;REMANSO;PetroRecôncavo;480000036719718;2022/03;0;0;0;7,5923;0;7,5923;234,54684;0;Estação S. Roque;INSTALACAO EMB/DESEMB;739;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
Bahia;Recôncavo;7-RO-89-BA;7RO  0089  BA;REMANSO;PetroRecôncavo;480000036719718;2022/03;3,3377;0;3,3377;1,8946;0;1,8946;58,52918;12,5081;Estação Remanso;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
Bahia;Recôncavo;3-RO-8-BA;3RO  0008  BA;REMANSO;PetroRecôncavo;480000036719718;2022/03;4,2276;0;4,2276;1,5674;0;1,5674;48,4218;7,4078;Ponto de Coleta de Búfalo;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
Bahia;Recôncavo;7-RO-59-BA;7RO  0059  BA;REMANSO;PetroRecôncavo;480000036719718;2022/03;5,1539;0;5,1539;1,0941;0;1,0941;33,80082;4,8473;Estação S. Roque;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
Bahia;Recôncavo;7-RO-114D-BA;7RO114DBA;REMANSO;PetroRecôncavo;480000036719718;2022/03;30,7787;0;30,7787;,8209;0;,8209;25,35832;62,4344;Estação Remanso;INSTALACAO EMB/DESEMB;738;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
Bahia;Recôncavo;7-RO-103-BA;7RO  0103  BA;REMANSO;PetroRecôncavo;480000036719718;2022/03;6,1245;0;6,1245;,7164;0;,7164;22,13273;10,1729;Estação Remanso;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;85,79;5,63;2,93;,78;,83;,24;,25;,2;,1;,05;,01;0;0;,04;2,96;,19;2,04407;533,32796;38157,2246;10/10/2025
