Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Espírito Santo;Espírito Santo;7-IBU-26DA-ES;7IBU26DAES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;14,7005;0;14,7005;,0421;0;,0421;1,26198;6,3003;Ponto de Coleta IBU-36;INSTALACAO EMB/DESEMB;710;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-27-ES;7IBU27ES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;32,0791;0;32,0791;,0765;0;,0765;2,29494;14,2376;Ponto de Coleta Tanque Isolado IBU-14 (Inhambu);INSTALACAO EMB/DESEMB;649;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-28D-ES;7IBU28DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;18,9451;0;18,9451;,0482;0;,0482;1,44565;16,2273;Ponto de Coleta Tanque Isolado IBU-14 (Inhambu);INSTALACAO EMB/DESEMB;653;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-47D-ES;7IBU47DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;41,513;0;41,513;,1056;0;,1056;3,16789;19,9362;Ponto de Coleta Tanque Isolado IBU-14 (Inhambu);INSTALACAO EMB/DESEMB;667;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-29D-ES;7IBU29DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;0;0;0;0;0;0;0;0;;;0;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-30D-ES;7IBU30DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;4,155;0;4,155;,0106;0;,0106;,31702;5,2981;Ponto de Coleta Área do IBU-15 (Inhambú);INSTALACAO EMB/DESEMB;659;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-37D-ES;7IBU37DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;8,2973;0;8,2973;,0211;0;,0211;,6331;3,7242;Ponto de Coleta IBU-38;INSTALACAO EMB/DESEMB;640;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-38-ES;7IBU38ES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;7,5098;0;7,5098;,0167;0;,0167;,50139;6,0843;Ponto de Coleta IBU-38;INSTALACAO EMB/DESEMB;640;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-40D-ES;7IBU40DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;47,8847;0;47,8847;,1142;0;,1142;3,42574;48,3737;Ponto de Coleta Tanque Isolado IBU-14 (Inhambu);INSTALACAO EMB/DESEMB;667;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
Espírito Santo;Espírito Santo;7-IBU-41D-ES;7IBU41DES;INHAMBU;Seacrest Norte Cap;486100107352001A;2021/06;43,9645;0;43,9645;,1048;0;,1048;3,14528;38,6756;Ponto de Coleta Tanque Isolado IBU-14 (Inhambu);INSTALACAO EMB/DESEMB;671;2021/02;Espírito Santo;19,6;< 290ºC;20,1%;290ºC a 380ºC;14,5%;> 380ºC;65,4%;91,1;,51;,54;,22;,05;,11;,02;,05;0;0;0;0;0;0;2,3;5,1;2,03196;531,86517;35040,6667;10/10/2025
