Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;7-CP-1236D-SE;7CP  1236D SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1237-SE;7CP  1237  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1238D-SE;7CP  1238D SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1239-SE;7CP  1239  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1240-SE;7CP  1240  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1241D-SE;7CP  1241D SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1242-SE;7CP  1242  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;7,4729;0,0000;7,4729;0,0440;0,0000;0,0440;1,31527;227,9620;Estação Coletora de Oiteirinhos I;INSTALACAO EMB/DESEMB;744;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1243-SE;7CP  1243  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;1,3383;0,0000;1,3383;0,0081;0,0000;0,0081;0,24309;111,1904;Estação Coletora de Oiteirinhos I;INSTALACAO EMB/DESEMB;375;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1244-SE;7CP  1244  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1245-SE;7CP  1245  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;10,1917;0,0000;10,1917;0,0663;0,0000;0,0663;1,98221;621,4472;Estação Coletora de Oiteirinhos I;INSTALACAO EMB/DESEMB;623;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1246-SE;7CP  1246  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;8,3762;0,0000;8,3762;0,0324;0,0000;0,0324;0,96871;93,3639;Estação Coletora de Oiteirinhos I;INSTALACAO EMB/DESEMB;446;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1247-SE;7CP  1247  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;2,3315;0,0000;2,3315;0,0114;0,0000;0,0114;0,34191;2,0237;Estação Coletora de Jordão;INSTALACAO EMB/DESEMB;741;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1248-SE;7CP  1248  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1250-SE;7CP  1250  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;11,6855;0,0000;11,6855;0,0701;0,0000;0,0701;2,09575;188,5387;Estação Coletora de Entre Rios;INSTALACAO EMB/DESEMB;740;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
Sergipe;Sergipe;7-CP-1252-SE;7CP  1252  SE;CARMÓPOLIS;Petrobras;480000038479714;2020/12;10,5772;0,0000;10,5772;0,0750;0,0000;0,0750;2,24400;306,3710;Estação Coletora de Santa Barbara;INSTALACAO EMB/DESEMB;744;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;;;;;;;;;;;;;;;;;;;;07/03/2021
