Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-CAM-1267-RN;7CAM1267RN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1254D-RN;7CAM1254DRN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1272-RN;7CAM1272RN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1291-RN;7CAM1291RN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;,0373;0;,0373;0;0;0;,00017;1,986;Estação Coletora CAM-N;INSTALACAO EMB/DESEMB;25;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1273D-RN;7CAM1273DRN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;14,1143;0;14,1143;,0022;0;,0022;,06896;89,7314;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1307D-RN;7CAM1307DRN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;,5697;0;,5697;,0001;0;,0001;,00269;23,6174;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1385-RN;7CAM1385RN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;2,8418;0;2,8418;,0004;0;,0004;,01375;48,2451;Estação Coletora CAM-N;INSTALACAO EMB/DESEMB;742;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1329-RN;7CAM1329RN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;,7132;0;,7132;,0001;0;,0001;,00337;22,534;Estação Coletora CAM-N;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1308D-RN;7CAM1308DRN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
Rio Grande do Norte;Potiguar;7-CAM-1310D-RN;7CAM1310DRN;CANTO DO AMARO;3R Potiguar;480000037929724;2021/07;6,4558;0;6,4558;,001;0;,001;,03147;156,2464;Estação Coletora CAM-N;INSTALACAO EMB/DESEMB;741;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;64,83;13,58;9,63;2,02;4,74;1,3;,89;,96;,41;,11;,01;0;0;0;1,32;,2;2,0782;537,42036;41933,1386;10/10/2025
