ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Recôncavo;7-C-10-BA;7C   0010  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;3,9521;0,0000;3,9521;0,2016;0,0000;0,2016;0,00000;0,0000;0,0000;FPSO Polvo;UEP;483
Recôncavo;7-A-6-BA;7A   0006  BA       ;ARATU;Petrobras;480000036329758;2010/09;0,0000;0,0000;0,0000;0,0000;2,9824;2,9824;89,47058;0,0000;0,0000;FPSO Polvo;UEP;482
Recôncavo;3-A-9-BA;3A   0009  BA       ;ARATU;Petrobras;480000036329758;2010/09;0,0000;0,0000;0,0000;0,0000;5,2820;5,2820;158,46045;0,0000;0,0000;FPSO Polvo;UEP;482
Recôncavo;7-A-11-BA;7A   0011  BA       ;ARATU;Petrobras;480000036329758;2010/09;0,0000;0,0000;0,0000;0,0000;6,6748;6,6748;200,24368;0,0000;0,0000;FPSO Polvo;UEP;0
Recôncavo;7-C-25-BA;7C   0025  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;1,6920;0,0000;1,6920;0,0864;0,0000;0,0864;0,00000;0,0000;0,0000;FPSO Polvo;UEP;0
Recôncavo;7-C-42-BA;7C   0042  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;2,8199;0,0000;2,8199;0,5669;0,0000;0,5669;0,00000;0,0000;0,1300;FPSO Polvo;UEP;482
Recôncavo;7-C-41-BA;7C   0041  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;2,2580;0,0000;2,2580;0,3945;0,0000;0,3945;0,00000;0,0000;0,0000;FPSO Polvo;UEP;482
Recôncavo;7-C-46-BA;7C   0046  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;1,6920;0,0000;1,6920;0,1313;0,0000;0,1313;0,00000;0,0000;0,0063;FPSO Polvo;UEP;470
Recôncavo;7-C-74-BA;7C   0074  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;1,6920;0,0000;1,6920;0,2993;0,0000;0,2993;0,00000;0,0000;0,0000;FPSO Polvo;UEP;482
Recôncavo;7-C-80-BA;7C   0080  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;11,2923;0,0000;11,2923;1,1522;0,0000;1,1522;0,00000;0,0000;0,0000;FPSO Polvo;UEP;482
Recôncavo;7-C-52-BA;7C   0052  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;1,6920;0,0000;1,6920;0,2952;0,0000;0,2952;0,00000;0,0000;0,0000;FPSO Polvo;UEP;470
Recôncavo;7-C-61-BA;7C   0061  BA       ;CANDEIAS;Petrobras;480000036389734;2010/09;4,5098;0,0000;4,5098;0,3687;0,0000;0,3687;0,00000;0,0000;125,3999;FPSO Polvo;UEP;0
Recôncavo;7-RS-17-BA;7RS  0017  BA       ;RIO DA SERRA;Petrobras;480000036859714;2010/09;0,8848;0,0000;0,8848;0,0001;0,0000;0,0001;0,00417;4,6314;5.250,3078;FPSO Polvo;UEP;297
Recôncavo;7-DJ-44-BA;7DJ  0044  BA       ;DOM JOÃO;Petrobras;480000036449737;2010/09;7,0823;0,0000;7,0823;0,0034;0,0000;0,0034;0,10128;195,2462;1.904,2903;FPSO Polvo;UEP;482
Recôncavo;7-MJ-5-BA;7MJ  0005  BA       ;MATA DE SÃO JOÃO;Petrobras;480000036709747;2010/09;0,0000;0,0000;0,0000;0,7398;0,0000;0,7398;21,83593;0,0000;244,4954;Unidade de Produção Terrestre - Tartaruga;UEP;158
