Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-ARG-176-RN;7ARG 0176  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;13,5637;0;13,5637;,0084;0;,0084;,26058;473,3346;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;738;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-510-RN;7ARG510RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-514-RN;7ARG514RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-177-RN;7ARG 0177  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;11,164;0;11,164;,0069;0;,0069;,21446;269,4662;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;738;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-178-RN;7ARG 0178  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;13,7343;0;13,7343;,0085;0;,0085;,26387;540,095;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;738;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-516-RN;7ARG516RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;0;0;0;0;0;0;0;0;;;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-179-RN;7ARG 0179  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;4,395;0;4,395;,0027;0;,0027;,08436;168,4389;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;738;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-180-RN;7ARG 0180  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;6,5921;0;6,5921;,0041;0;,0041;,12655;350,6545;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;738;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-181-RN;7ARG 0181  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;17,7225;0;17,7225;,011;0;,011;,34052;918,6728;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;738;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
Rio Grande do Norte;Potiguar;7-ARG-182-RN;7ARG 0182  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2021/08;8,4182;0;8,4182;,0052;0;,0052;,16167;1321,2505;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;736;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;79,243;,034;0;,002;,002;,004;,005;,01;,005;0;0;0;0;,264;19,24;1,211;2,44864;580,83019;29910,4577;10/10/2025
