Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;1-RV-1-RN;1RV  0001  RN;RIACHO VELHO;Leros;48610007480200681;2020/09;1,0747;0,0000;1,0747;0,0017;0,0000;0,0017;0,05126;1,1802;Ponto de Coleta de Riacho Velho (1RV01RN);INSTALACAO EMB/DESEMB;210;;;;< ºC;%;;%;> ºC;%;;;;;;;;;;;;;;;;;;;;23/12/2020 15:39
Rio Grande do Norte;Potiguar;4-ALC-2-RN;4ALC 0002  RN;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;0;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;23/12/2020 15:39
Rio Grande do Norte;Potiguar;1-BRSA-12-RN;1ALC4RN;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2020/09;0,0000;0,0000;0,0000;0,0000;1,3094;1,3094;39,28072;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;272;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;23/12/2020 15:39
Rio Grande do Norte;Potiguar;3-AURI-23-RN;3AURI23RN;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2020/09;1,3821;0,0000;1,3821;0,0006;0,0000;0,0006;0,01940;0,6548;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;720;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-PQO-1-RN;7PQO1RN;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;0;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-PQO-2-RN;PQO-2;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2020/09;2,6224;0,0000;2,6224;0,0638;0,0000;0,0638;1,91307;49,1846;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;720;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-PQO-3-RN;PQO-3;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;0;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;23/12/2020 15:39
Rio Grande do Norte;Potiguar;1-GALP-42-RN;1PTL1RN;PERIQUITO NORTE;Phoenix Óleo & Gás;48610010806201549;2020/09;0,0000;0,0000;0,0000;0,0000;1,1249;1,1249;33,74684;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;272;;;;< ºC;%;;%;> ºC;%;92,43398;0,87893;0,85707;0,414;0,47273;0,19473;0,18553;0,48833;0;0;0;0;0;0;3,85943;0,21527;2,13651;544,36938;36394,7787;23/12/2020 15:39
