ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Alagoas;Alagoas;4-ALS-39-AL;4ALS 0039  AL       ;PARU;Petrobras;480000038409775;2014/05;0,0000;285,8171;285,8171;0,0000;174,5329;174,5329;5.410,51900;0,0000;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-137-BA;7C   0137  BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;23,8808;0,0000;23,8808;4,3869;0,0000;4,3869;26,70595;0,1899;FPSO FRADE;UEP;414
Bahia;Recôncavo;7-C-170-BA;7C   0170  BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;23,6178;0,0000;23,6178;1,6881;0,0000;1,6881;10,27663;0,0000;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;17,8428;0,0000;17,8428;1,2767;0,0000;1,2767;7,77181;0,0142;FPSO FRADE;UEP;281
Bahia;Recôncavo;7-C-174D-BA;7C   0174D BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;6,2216;0,0000;6,2216;0,3768;0,0000;0,3768;2,29363;0,0037;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-185-BA;7C   0185  BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;11,4895;0,0000;11,4895;0,2790;0,0000;0,2790;1,69825;0,1136;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-197D-BA;7C   0197D BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;30,0969;0,0000;30,0969;3,9636;0,0000;3,9636;24,12898;0,0000;FPSO FRADE;UEP;666
Bahia;Recôncavo;7-C-201D-BA;7C   0201D BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;7,1740;0,0000;7,1740;4,2837;0,0000;4,2837;26,07789;0,0331;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-202D-BA;7C   0202D BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;25,2512;0,0000;25,2512;8,3883;0,0000;8,3883;51,06496;0,2005;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-211D-BA;7C   0211D BA       ;CANDEIAS;Petrobras;480000036389734;2014/05;5,4360;0,0000;5,4360;0,6484;0,0000;0,6484;3,94753;0,0000;FPSO FRADE;UEP;0
Bahia;Recôncavo;8-DJM-881H-BAS;8DJM881HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/05;116,2775;0,0000;116,2775;0,1479;0,0000;0,1479;4,58457;421,9608;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-DJM-854H-BAS;7DJM854HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/05;66,3597;0,0000;66,3597;0,0844;0,0000;0,0844;2,61637;479,7488;FPSO Fluminense;UEP;0
Bahia;Recôncavo;7-DJM-856H-BAS;7DJM856HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/05;70,7224;0,0000;70,7224;0,0899;0,0000;0,0899;2,78837;1.173,2705;FPSO Fluminense;UEP;732
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2014/05;0,0000;81,7207;81,7207;0,0000;1.220,9984;1.220,9984;37.834,12265;16,8928;FPSO Fluminense;UEP;209
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2014/05;0,0000;105,6623;105,6623;0,0000;984,2399;984,2399;30.497,87257;13,6160;FPSO Fluminense;UEP;134
Bahia;Camamu;7-MNT-3-BAS;7MNT3BAS            ;MANATI;Petrobras;480000035189782;2014/05;0,0000;73,8525;73,8525;0,0000;652,1372;652,1372;20.207,26448;9,0206;FPSO Fluminense;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2014/05;0,0000;99,1321;99,1321;0,0000;915,1094;915,1094;28.355,77830;11,5089;FPSO Fluminense;UEP;240
