ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Sergipe;Sergipe;3-BRSA-252-SES;3SES154             ;PIRANEMA;Petrobras;480000034959789;2011/01;1.438,9722;0,0000;1.438,9722;650,1343;0,0000;650,1343;1.851,16660;1.689,2251;PLATAFORMA DE PIRANEMA;UEP;0
Sergipe;Sergipe;4-BRSA-189A-SES;4SES149A            ;PIRANEMA;Petrobras;480000034959789;2011/01;598,1932;0,0000;598,1932;530,3660;0,0000;530,3660;1.510,14300;18,4969;PLATAFORMA DE PIRANEMA;UEP;0
Sergipe;Sergipe;6-BRSA-625D-SES;6PRM4DSES           ;PIRANEMA;Petrobras;480000034959789;2011/01;1.130,0867;0,0000;1.130,0867;539,1524;0,0000;539,1524;1.535,16114;4,5352;PLATAFORMA DE PIRANEMA;UEP;0
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2011/01;0,0000;93,3684;93,3684;0,0000;1.083,8488;1.083,8488;33.581,18160;14,9943;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2011/01;0,0000;103,6561;103,6561;0,0000;1.221,8567;1.221,8567;37.857,11592;16,9042;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2011/01;0,0000;139,1911;139,1911;0,0000;1.364,6284;1.364,6284;42.280,65120;17,1633;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-5D-BAS;7MNT5DBAS           ;MANATI;Petrobras;480000035189782;2011/01;0,0000;161,9172;161,9172;0,0000;1.329,9463;1.329,9463;41.206,08760;18,4001;PLATAFORMA DE MANATI 1;UEP;0
Espírito Santo;Espírito Santo;7-CMR-1H-ESS;7CMR1HESS           ;CAMARUPIM NORTE;Petrobras;480000035359700;2011/01;0,0000;1.670,2084;1.670,2084;0,0000;1.287,9034;1.287,9034;39.905,59995;0,8079;FPSO CIDADE SÃO MATEUS;UEP;0
Espírito Santo;Espírito Santo;7-CMR-1H-ESS;7CMR1HESS           ;CAMARUPIM;Petrobras;480000035359700;2011/01;0,0000;733,1939;733,1939;0,0000;565,3683;565,3683;17.517,90047;0,3547;FPSO CIDADE SÃO MATEUS;UEP;0
Espírito Santo;Espírito Santo;4-BRSA-265-ESS;4ESS138             ;CANAPU;Petrobras;480000035359700;2011/01;947,1656;33,4780;980,6437;1.582,7577;0,0000;1.582,7577;49.065,48925;0,0000;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-1HA-ESS;7GLF1HAESS          ;GOLFINHO;Petrobras;480000035359700;2011/01;4.294,6955;0,0000;4.294,6955;33,6801;0,0000;33,6801;1.037,10672;9.265,2653;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-8H-ESS;7GLF8HESS           ;GOLFINHO;Petrobras;480000035359700;2011/01;4.019,9943;0,0000;4.019,9943;43,0821;0,0000;43,0821;1.326,61919;7.642,4858;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-13H-ESS;7GLF13HESS          ;GOLFINHO;Petrobras;480000035359700;2011/01;2.400,6488;0,0000;2.400,6488;15,5975;0,0000;15,5975;480,28996;5.472,1014;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-10HA-ESS;7GLF10HAESS         ;GOLFINHO;Petrobras;480000035359700;2011/01;4.865,6595;0,0000;4.865,6595;41,0165;0,0000;41,0165;1.263,01366;12.396,9787;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-27HA-ESS;7GLF27HAESS         ;GOLFINHO;Petrobras;480000035359700;2011/01;11.219,7970;0,0000;11.219,7970;77,9280;0,0000;77,9280;2.399,62285;10.597,0607;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-28HA-ESS;7GLF28HAESS         ;GOLFINHO;Petrobras;480000035359700;2011/01;10.781,1836;0,0000;10.781,1836;78,3103;0,0000;78,3103;2.411,39541;11.853,2987;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Campos;7-ABA-2D-ESS;7ABA2DESS           ;ABALONE;Shell Brasil;480000035529711;2011/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO ESPIRITO SANTO;UEP;0
Espírito Santo;Campos;7-OST-1H-ESS;7OST1HESS           ;OSTRA;Shell Brasil;480000035529711;2011/01;12.041,7378;0,0000;12.041,7378;182,4823;0,0000;182,4823;2.460,00331;4.373,6403;FPSO ESPIRITO SANTO;UEP;732
Espírito Santo;Campos;7-OST-2H-ESS;7OST2HESS           ;OSTRA;Shell Brasil;480000035529711;2011/01;17.747,6653;0,0000;17.747,6653;144,7124;0,0000;144,7124;1.950,83555;6.491,9509;FPSO ESPIRITO SANTO;UEP;735
Espírito Santo;Campos;7-OST-3H-ESS;7OST3HESS           ;OSTRA;Shell Brasil;480000035529711;2011/01;12.229,7051;0,0000;12.229,7051;95,2464;0,0000;95,2464;1.283,99573;0,0000;FPSO ESPIRITO SANTO;UEP;739
Espírito Santo;Campos;7-OST-9H-ESS;7OST9HESS           ;OSTRA;Shell Brasil;480000035529711;2011/01;7.061,8534;0,0000;7.061,8534;51,0949;0,0000;51,0949;688,79932;3.772,0873;FPSO ESPIRITO SANTO;UEP;738
Espírito Santo;Campos;7-OST-6H-ESS;7OST6HESS           ;OSTRA;Shell Brasil;480000035529711;2011/01;11.298,5808;0,0000;11.298,5808;80,6289;0,0000;80,6289;1.086,94007;695,0295;FPSO ESPIRITO SANTO;UEP;738
Espírito Santo;Campos;7-OST-7H-ESS;7OST7HESS           ;OSTRA;Shell Brasil;480000035529711;2011/01;2.385,6497;0,0000;2.385,6497;15,9381;0,0000;15,9381;214,85810;1.286,5571;FPSO ESPIRITO SANTO;UEP;734
Espírito Santo;Campos;7-ARGO-3H-ESS;7ARGO3HESS          ;ARGONAUTA;Shell Brasil;480000035529711;2011/01;1.166,8488;0,0000;1.166,8488;7,8513;0,0000;7,8513;240,81502;573,0360;FPSO ESPIRITO SANTO;UEP;418
Espírito Santo;Campos;7-ARGO-2H-ESS;7ARGO2HESS          ;ARGONAUTA;Shell Brasil;480000035529711;2011/01;628,4121;0,0000;628,4121;4,8792;0,0000;4,8792;149,65565;0,0000;FPSO ESPIRITO SANTO;UEP;417
Espírito Santo;Campos;7-CHT-5HA-ESS;7CHT5HAESS          ;CACHALOTE;Petrobras;480000035609749;2011/01;24.421,4926;0,0000;24.421,4926;232,2681;0,0000;232,2681;7.185,47630;0,0000;FPSO CAPIXABA;UEP;0
Espírito Santo;Campos;7-CHT-7HP-ESS;7CHT7HPESS          ;CACHALOTE;Petrobras;480000035609749;2011/01;24.346,5495;0,0000;24.346,5495;525,8288;0,0000;525,8288;16.267,11155;0,0000;FPSO CAPIXABA;UEP;0
Espírito Santo;Campos;7-CHT-9H-ESS;7CHT9HESS           ;CACHALOTE;Petrobras;480000035609749;2011/01;17.758,7064;0,0000;17.758,7064;181,3984;0,0000;181,3984;5.611,76505;0,0000;FPSO CAPIXABA;UEP;0
Espírito Santo;Campos;1-BRSA-108A-ESS;1ESS103A            ;JUBARTE;Petrobras;480000035609749;2011/01;17.199,9375;0,0000;17.199,9375;550,3399;0,0000;550,3399;17.007,97768;101,7125;FPSO JK;UEP;0
Espírito Santo;Campos;3-BRSA-149HP-ESS;3ESS110HP           ;JUBARTE;Petrobras;480000035609749;2011/01;3.481,5734;0,0000;3.481,5734;22,6033;0,0000;22,6033;698,54411;2.539,8811;FPSO JK;UEP;0
Espírito Santo;Campos;7-JUB-4HP-ESS;7JUB4HPESS          ;JUBARTE;Petrobras;480000035609749;2011/01;5.048,8818;0,0000;5.048,8818;32,8163;0,0000;32,8163;1.014,17266;1.836,3281;FPSO JK;UEP;0
Espírito Santo;Campos;7-JUB-2HPA-ESS;7JUB2HPAESS         ;JUBARTE;Petrobras;480000035609749;2011/01;5.753,3998;0,0000;5.753,3998;37,3223;0,0000;37,3223;1.153,42673;282,6604;FPSO JK;UEP;0
Espírito Santo;Campos;7-JUB-6HA-ESS;7JUB6HAESS          ;JUBARTE;Petrobras;480000035609749;2011/01;10.066,8953;0,0000;10.066,8953;65,0514;0,0000;65,0514;2.010,38098;10.935,4083;FPSO JK;UEP;0
Espírito Santo;Campos;6-BRSA-639-ESS;6BFR1ESS            ;JUBARTE;Petrobras;480000035609749;2011/01;23.362,7826;0,0000;23.362,7826;829,1434;0,0000;829,1434;25.624,26066;0,0000;FPSO CAPIXABA;UEP;0
Espírito Santo;Campos;7-JUB-11HP-ESS;7JUB11HPESS         ;JUBARTE;Petrobras;480000035609749;2011/01;169,6552;0,0000;169,6552;1,3419;0,0000;1,3419;41,46942;1,9561;PETROBRAS 57;UEP;0
Espírito Santo;Campos;7-JUB-9HP-ESS;7JUB9HPESS          ;JUBARTE;Petrobras;480000035609749;2011/01;15.796,1412;0,0000;15.796,1412;144,7980;0,0000;144,7980;4.474,90935;2.083,7061;PETROBRAS 57;UEP;0
Espírito Santo;Campos;7-JUB-14HA-ESS;7JUB14HAESS         ;JUBARTE;Petrobras;480000035609749;2011/01;23.160,8797;0,0000;23.160,8797;201,3622;0,0000;201,3622;6.222,99881;199,4671;PETROBRAS 57;UEP;0
Espírito Santo;Campos;7-BFR-3HP-ESS;7BFR3HPESS          ;BALEIA FRANCA;Petrobras;480000035609749;2011/01;14.101,6548;0,0000;14.101,6548;209,4442;0,0000;209,4442;6.432,76890;0,0000;FPSO CAPIXABA;UEP;0
São Paulo;Santos;7-LAG-1HA-SPS;7LAG1HASPS          ;LAGOSTA;Petrobras;480000035709701;2011/01;0,0000;2.783,8518;2.783,8518;0,0000;1.300,8074;1.300,8074;40.322,72402;126,0066;PLATAFORMA DE MERLUZA;UEP;0
Rio de Janeiro;Santos;7-URG-6HP-RJS;7URG6HPRJS          ;URUGUÁ;Petrobras;480000035779741;2011/01;153,0735;0,0000;153,0735;4,2164;0,0000;4,2164;119,72625;2,4534;FPSO CIDADE DE SANTOS;UEP;0
Rio de Janeiro;Santos;7-URG-8HP-RJS;7URG8HPRJS          ;URUGUÁ;Petrobras;480000035779741;2011/01;2.724,1139;0,0000;2.724,1139;63,8539;0,0000;63,8539;1.813,14689;34,8123;FPSO CIDADE DE SANTOS;UEP;0
Rio de Janeiro;Santos;7-URG-10HP-RJS;7URG10HPRJS         ;URUGUÁ;Petrobras;480000035779741;2011/01;68,3712;0,0000;68,3712;1,5710;0,0000;1,5710;44,60870;1,6648;FPSO CIDADE DE SANTOS;UEP;0
Rio de Janeiro;Santos;7-URG-12HP-RJS;7URG12HPRJS         ;URUGUÁ;Petrobras;480000035779741;2011/01;75,4006;0,0000;75,4006;1,7666;0,0000;1,7666;50,16211;2,6634;FPSO CIDADE DE SANTOS;UEP;0
Bahia;Recôncavo;7-C-137-BA;7C   0137  BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;25,2094;0,0000;25,2094;2,0541;0,0000;2,0541;0,00000;0,0225;;;0
Bahia;Recôncavo;7-C-170-BA;7C   0170  BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;29,2421;0,0000;29,2421;7,1516;0,0000;7,1516;0,00000;0,0000;;;0
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;35,2286;0,0000;35,2286;7,6400;0,0000;7,6400;0,00000;0,0317;;;0
Bahia;Recôncavo;7-C-174D-BA;7C   0174D BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;11,3462;0,0000;11,3462;2,3963;0,0000;2,3963;0,00000;0,0000;;;0
Bahia;Recôncavo;3-C-184-BA;3C   0184  BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;1,2600;0,0000;1,2600;0,1331;0,0000;0,1331;0,00000;0,0000;;;0
Bahia;Recôncavo;7-C-185-BA;7C   0185  BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;22,0525;0,0000;22,0525;8,9737;0,0000;8,9737;0,00000;0,1749;;;0
Bahia;Recôncavo;7-C-197D-BA;7C   0197D BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;30,3857;0,0000;30,3857;23,9249;0,0000;23,9249;0,00000;0,0270;;;0
Bahia;Recôncavo;7-C-201D-BA;7C   0201D BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;6,6319;0,0000;6,6319;1,1855;0,0000;1,1855;0,00000;0,0365;;;0
Bahia;Recôncavo;7-C-202D-BA;7C   0202D BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;14,2389;0,0000;14,2389;2,8600;0,0000;2,8600;0,00000;0,0110;;;0
Bahia;Recôncavo;7-C-211D-BA;7C   0211D BA       ;CANDEIAS;Petrobras;480000036389734;2011/01;5,8199;0,0000;5,8199;0,7809;0,0000;0,7809;0,00000;0,0000;;;0
Rio de Janeiro;Campos;4-RJS-328-RJ;4RJS 0328  RJ       ;ALBACORA;Petrobras;480000037039702;2011/01;1.093,7140;0,0000;1.093,7140;14,7357;0,0000;14,7357;455,60416;4.114,4433;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;4-RJS-330A-RJ;4RJS 0330A RJ       ;ALBACORA;Petrobras;480000037039702;2011/01;1.324,2363;0,0000;1.324,2363;40,8256;0,0000;40,8256;1.262,25931;0,0000;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;1-RJS-342-RJ;1RJS 0342  RJ       ;ALBACORA;Petrobras;480000037039702;2011/01;1.768,0285;0,0000;1.768,0285;27,5750;0,0000;27,5750;852,57404;1.083,6255;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;3-RJS-334-RJ;3RJS 0334  RJ       ;ALBACORA;Petrobras;480000037039702;2011/01;1.734,1195;0,0000;1.734,1195;18,5955;0,0000;18,5955;574,94220;1.335,1142;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-6D-RJS;7AB  0006D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.990,7301;0,0000;1.990,7301;29,3015;0,0000;29,3015;905,95510;2.986,0946;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-7D-RJS;7AB  0007D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.139,7124;0,0000;1.139,7124;12,2018;0,0000;12,2018;377,25842;1.573,8856;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-63HA-RJS;7AB63HARJS          ;ALBACORA;Petrobras;480000037039702;2011/01;1.135,0599;0,0000;1.135,0599;19,7788;0,0000;19,7788;611,52929;117,7619;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-13HA-RJS;7AB  0013HARJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.418,8251;0,0000;1.418,8251;32,3308;0,0000;32,3308;999,61532;7,1259;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-64HA-RJS;7AB64HARJS          ;ALBACORA;Petrobras;480000037039702;2011/01;1.450,3543;0,0000;1.450,3543;50,5459;0,0000;50,5459;1.562,79730;0,0000;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-12D-RJS;7AB  0012D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.312,8343;0,0000;1.312,8343;15,8145;0,0000;15,8145;488,95947;3.214,1761;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-16D-RJS;7AB  0016D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;2.878,6827;0,0000;2.878,6827;61,6696;0,0000;61,6696;1.906,72420;528,0362;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-17-RJS;7AB  0017  RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.875,7518;0,0000;1.875,7518;36,5707;0,0000;36,5707;1.130,70721;4.234,1844;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;9-AB-65-RJS;9AB65RJS            ;ALBACORA;Petrobras;480000037039702;2011/01;1.443,9535;0,0000;1.443,9535;32,3671;0,0000;32,3671;1.000,73916;5.241,0132;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-20D-RJS;7AB  0020D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;393,6472;0,0000;393,6472;7,6733;0,0000;7,6733;237,24539;2.066,6457;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-21D-RJS;7AB  0021D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.629,7697;0,0000;1.629,7697;36,5412;0,0000;36,5412;1.129,79558;1.486,4199;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-23D-RJS;7AB  0023D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.009,6115;0,0000;1.009,6115;19,0613;0,0000;19,0613;589,34376;1.514,4168;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-26D-RJS;7AB  0026D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;3.749,1242;0,0000;3.749,1242;80,2946;0,0000;80,2946;2.482,57679;2.499,4092;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;9-AB-67-RJS;9AB67RJS            ;ALBACORA;Petrobras;480000037039702;2011/01;2.890,5088;0,0000;2.890,5088;61,9905;0,0000;61,9905;1.916,64383;6.841,8388;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-27DA-RJS;7AB  0027DARJS      ;ALBACORA;Petrobras;480000037039702;2011/01;2.275,4842;0,0000;2.275,4842;55,4551;0,0000;55,4551;1.714,57969;4.835,4018;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-73HP-RJS;7AB73HPRJS          ;ALBACORA;Petrobras;480000037039702;2011/01;2.688,8120;0,0000;2.688,8120;52,3804;0,0000;52,3804;1.619,51661;6.914,0834;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-33D-RJS;7AB  0033D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;469,0342;0,0000;469,0342;12,7615;0,0000;12,7615;394,56328;3.794,9100;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-37D-RJS;7AB  0037D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.349,3097;0,0000;1.349,3097;36,7124;0,0000;36,7124;1.135,08613;1.296,3923;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-75-RJS;7AB75RJS            ;ALBACORA;Petrobras;480000037039702;2011/01;6.703,5429;0,0000;6.703,5429;130,6959;0,0000;130,6959;4.040,90192;243,1279;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-44DP-RJS;7AB  0044DPRJS      ;ALBACORA;Petrobras;480000037039702;2011/01;968,4055;0,0000;968,4055;26,3492;0,0000;26,3492;814,67514;2.618,2771;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-78H-RJS;7AB78HRJS           ;ALBACORA;Petrobras;480000037039702;2011/01;1.069,2099;0,0000;1.069,2099;31,4777;0,0000;31,4777;973,23801;395,4574;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-80H-RJS;7AB80HRJS           ;ALBACORA;Petrobras;480000037039702;2011/01;2.951,4083;0,0000;2.951,4083;63,2407;0,0000;63,2407;1.955,29835;2.102,3684;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-46D-RJS;7AB  0046D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;423,7989;0,0000;423,7989;6,2808;0,0000;6,2808;194,19155;988,8612;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-81HP-RJS;7AB81HPRJS          ;ALBACORA;Petrobras;480000037039702;2011/01;465,9913;0,0000;465,9913;10,4074;0,0000;10,4074;321,77843;6,1338;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-47D-RJS;7AB  0047D RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;945,8835;0,0000;945,8835;12,6787;0,0000;12,6787;392,00604;713,5562;PETROBRAS 31;UEP;0
Rio de Janeiro;Campos;7-AB-89HA-RJS;7AB89HARJS          ;ALBACORA;Petrobras;480000037039702;2011/01;3.013,5401;0,0000;3.013,5401;70,5044;0,0000;70,5044;2.179,88094;7.749,0979;PETROBRAS 25;UEP;0
Rio de Janeiro;Campos;7-AB-55H-RJS;7AB  0055H RJS      ;ALBACORA;Petrobras;480000037039702;2011/01;1.702,5897;0,0000;1.702,5897;31,9504;0,0000;31,9504;987,85510;52,6532;PETROBRAS 31;UEP;0
