ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Rio Grande do Norte;Potiguar;3-RNS-120-RN;3RNS 0120  RN       ;ARABAIANA;Petrobras;480000039139747;2010/11;0,0000;28,6291;28,6291;0,0000;49,7761;49,7761;1.493,28358;18,3180;PLATAFORMA DE ARABAIANA 1;UEP;0
Rio Grande do Norte;Potiguar;3-RNS-125-RN;3RNS 0125  RN       ;ARABAIANA;Petrobras;480000039139747;2010/11;0,0000;0,0000;0,0000;0,0000;0,6831;0,6831;20,49420;0,0000;PLATAFORMA DE ARABAIANA 3;UEP;0
Sergipe;Sergipe;1-SES-107D-SES;1SES 0107D SE       ;TARTARUGA;UP Petróleo;480000038359735;2010/11;62,2754;0,0000;62,2754;1,2086;0,0000;1,2086;36,25800;2,5641;Unidade de Produção Terrestre - Tartaruga;UEP;123
Espírito Santo;Campos;7-ABA-2D-ESS;7ABA2DESS           ;ABALONE;Shell Brasil;480000035529711;2010/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO ESPIRITO SANTO;UEP;0
Espírito Santo;Campos;7-ARGO-3H-ESS;7ARGO3HESS          ;ARGONAUTA;Shell Brasil;480000035529711;2010/11;4.356,9501;0,0000;4.356,9501;23,7030;0,0000;23,7030;708,93172;644,3382;FPSO ESPIRITO SANTO;UEP;691
Espírito Santo;Campos;7-ARGO-2H-ESS;7ARGO2HESS          ;ARGONAUTA;Shell Brasil;480000035529711;2010/11;1.933,9029;0,0000;1.933,9029;12,1003;0,0000;12,1003;361,90782;0,0000;FPSO ESPIRITO SANTO;UEP;682
Espírito Santo;Campos;7-OST-1H-ESS;7OST1HESS           ;OSTRA;Shell Brasil;480000035529711;2010/11;17.132,3084;0,0000;17.132,3084;135,7110;0,0000;135,7110;1.656,78403;0,0000;FPSO ESPIRITO SANTO;UEP;702
Espírito Santo;Campos;7-OST-2H-ESS;7OST2HESS           ;OSTRA;Shell Brasil;480000035529711;2010/11;18.992,9521;0,0000;18.992,9521;150,5078;0,0000;150,5078;1.837,42666;5.611,8251;FPSO ESPIRITO SANTO;UEP;703
Espírito Santo;Campos;7-OST-3H-ESS;7OST3HESS           ;OSTRA;Shell Brasil;480000035529711;2010/11;9.621,3146;0,0000;9.621,3146;75,7283;0,0000;75,7283;924,50492;0,0000;FPSO ESPIRITO SANTO;UEP;704
