ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Alagoas;Alagoas;4-ALS-39-AL;4ALS 0039  AL       ;PARU;Petrobras;480000038409775;2014/12;0,0000;298,7499;298,7499;0,0000;167,1101;167,1101;5.180,41200;0,0000;Estação de Paru;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-137-BA;7C   0137  BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;18,5034;0,0000;18,5034;4,4170;0,0000;4,4170;0,00000;0,0274;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-170-BA;7C   0170  BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;19,3075;0,0000;19,3075;1,7460;0,0000;1,7460;0,00000;0,0621;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;24,5185;0,0000;24,5185;2,2020;0,0000;2,2020;0,00000;0,0485;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-174D-BA;7C   0174D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;12,2383;0,0000;12,2383;0,9224;0,0000;0,9224;0,00000;0,0215;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-185-BA;7C   0185  BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;5,5419;0,0000;5,5419;0,1694;0,0000;0,1694;0,00000;0,4072;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-197D-BA;7C   0197D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;21,0914;0,0000;21,0914;3,4974;0,0000;3,4974;0,00000;0,1242;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-201D-BA;7C   0201D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;2,0610;0,0000;2,0610;1,5887;0,0000;1,5887;0,00000;0,0158;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-202D-BA;7C   0202D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;19,3807;0,0000;19,3807;8,1015;0,0000;8,1015;0,00000;0,0164;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-203D-BA;7C   0203D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;2,2800;0,0000;2,2800;0,3760;0,0000;0,3760;0,00000;0,0126;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-211D-BA;7C   0211D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;8,5505;0,0000;8,5505;1,2820;0,0000;1,2820;0,00000;0,2611;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-212D-BA;7C   0212D BA       ;CANDEIAS;Petrobras;480000036389734;2014/12;7,9806;0,0000;7,9806;0,9572;0,0000;0,9572;0,00000;0,0937;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2014/12;0,0000;81,6710;81,6710;0,0000;866,8960;866,8960;26.861,67277;11,9926;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2014/12;0,0000;98,0563;98,0563;0,0000;1.046,9748;1.046,9748;32.441,60159;14,4848;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-3-BAS;7MNT3BAS            ;MANATI;Petrobras;480000035189782;2014/12;0,0000;65,2913;65,2913;0,0000;703,2778;703,2778;21.791,79556;9,7287;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2014/12;0,0000;92,2506;92,2506;0,0000;981,9948;981,9948;30.428,13100;12,3499;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-5D-BAS;7MNT5DBAS           ;MANATI;Petrobras;480000035189782;2014/12;0,0000;93,3919;93,3919;0,0000;1.002,1838;1.002,1838;31.053,70776;13,8650;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-6D-BAS;7MNT6DBAS           ;MANATI;Petrobras;480000035189782;2014/12;0,0000;111,7752;111,7752;0,0000;1.223,4161;1.223,4161;37.908,82080;16,9259;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Recôncavo;7-DJM-856H-BAS;7DJM856HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/12;0,6641;0,0000;0,6641;0,0008;0,0000;0,0008;0,02605;10,0191;Estação Marapé (Dom João Mar);INSTALACAO EMB/DESEMB;0
Ceará;Ceará;7-CES-84D-CE;7CES 0084D CE       ;ATUM;Petrobras;480000037759713;2014/12;281,1957;0,0000;281,1957;2,8775;0,0000;2,8775;84,97873;170,5831;PLATAFORMA DE ATUM 1;UEP;0
Ceará;Ceará;7-AT-4D-CES;7AT  0004D CES      ;ATUM;Petrobras;480000037759713;2014/12;428,1516;0,0000;428,1516;3,2656;0,0000;3,2656;96,44148;285,6631;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-6D-CES;7AT  0006D CES      ;ATUM;Petrobras;480000037759713;2014/12;50,2765;0,0000;50,2765;0,4015;0,0000;0,4015;11,85592;368,4607;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-7D-CES;7AT  0007D CES      ;ATUM;Petrobras;480000037759713;2014/12;354,1232;0,0000;354,1232;10,6775;0,0000;10,6775;315,33132;176,7504;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-21DP-CES;7AT21DPCES          ;ATUM;Petrobras;480000037759713;2014/12;106,5591;0,0000;106,5591;1,2946;0,0000;1,2946;38,23164;44,5517;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-22DP-CES;7AT22DPCES          ;ATUM;Petrobras;480000037759713;2014/12;159,0301;0,0000;159,0301;1,6750;0,0000;1,6750;49,46683;142,2059;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-10D-CES;7AT  0010D CES      ;ATUM;Petrobras;480000037759713;2014/12;0,3963;0,0000;0,3963;0,4793;0,0000;0,4793;14,15354;395,8614;PLATAFORMA DE ATUM 3;UEP;0
Ceará;Ceará;8-AT-12D-CES;8AT  0012D CES      ;ATUM;Petrobras;480000037759713;2014/12;144,2531;0,0000;144,2531;1,0422;0,0000;1,0422;30,77971;19,6676;PLATAFORMA DE ATUM 3;UEP;0
Ceará;Ceará;7-AT-13D-CES;7AT  0013D CES      ;ATUM;Petrobras;480000037759713;2014/12;19,8559;0,0000;19,8559;1,2178;0,0000;1,2178;35,96491;63,8673;PLATAFORMA DE ATUM 3;UEP;0
Ceará;Ceará;7-AT-16D-CES;7AT  0016D CES      ;ATUM;Petrobras;480000037759713;2014/12;149,5114;0,0000;149,5114;0,9183;0,0000;0,9183;27,11850;306,8867;PLATAFORMA DE ATUM 3;UEP;0
Ceará;Ceará;7-XA-1D-CES;7XA  0001D CES      ;XARÉU;Petrobras;480000037789701;2014/12;109,7834;0,0000;109,7834;0,5417;0,0000;0,5417;15,37191;276,6230;PLATAFORMA DE XAREU 1;UEP;0
Ceará;Ceará;7-XA-3D-CES;7XA  0003D CES      ;XARÉU;Petrobras;480000037789701;2014/12;197,3998;0,0000;197,3998;0,5211;0,0000;0,5211;14,78688;34,2318;PLATAFORMA DE XAREU 1;UEP;0
Ceará;Ceará;7-XA-4D-CES;7XA  0004D CES      ;XARÉU;Petrobras;480000037789701;2014/12;57,3393;0,0000;57,3393;0,2247;0,0000;0,2247;6,37743;20,1976;PLATAFORMA DE XAREU 1;UEP;0
Ceará;Ceará;7-XA-8D-CES;7XA  0008D CES      ;XARÉU;Petrobras;480000037789701;2014/12;169,0705;0,0000;169,0705;1,4841;0,0000;1,4841;42,11321;297,0036;PLATAFORMA DE XAREU 1;UEP;0
Ceará;Ceará;7-XA-9-CES;7XA  0009  CES      ;XARÉU;Petrobras;480000037789701;2014/12;145,5064;0,0000;145,5064;0,5097;0,0000;0,5097;14,46427;254,1631;PLATAFORMA DE XAREU 1;UEP;0
Ceará;Ceará;7-XA-11D-CES;7XA  0011D CES      ;XARÉU;Petrobras;480000037789701;2014/12;153,2232;0,0000;153,2232;0,5417;0,0000;0,5417;15,37212;68,9670;PLATAFORMA DE XAREU 1;UEP;0
Ceará;Ceará;7-XA-12D-CES;7XA  0012D CES      ;XARÉU;Petrobras;480000037789701;2014/12;46,0686;0,0000;46,0686;0,8849;0,0000;0,8849;25,11121;545,3123;PLATAFORMA DE XAREU 1;UEP;0
