ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Sergipe;Sergipe;4-BRSA-189A-SES;4SES149A            ;PIRANEMA;Petrobras;480000034959789;2011/12;1.278,6973;0,0000;1.278,6973;880,8500;0,0000;880,8500;2.477,08721;2,5589;PLATAFORMA DE PIRANEMA;UEP;0
Sergipe;Sergipe;6-BRSA-625D-SES;6PRM4DSES           ;PIRANEMA;Petrobras;480000034959789;2011/12;529,1542;0,0000;529,1542;459,1738;0,0000;459,1738;1.291,26821;3,1766;PLATAFORMA DE PIRANEMA;UEP;0
Sergipe;Sergipe;3-BRSA-799-SES;3PRM12SES           ;PIRANEMA;Petrobras;480000034959789;2011/12;5.352,5352;0,0000;5.352,5352;172,6883;0,0000;172,6883;485,62630;5,3530;PLATAFORMA DE PIRANEMA;UEP;0
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2011/12;0,0000;29,9758;29,9758;0,0000;376,5627;376,5627;11.667,13337;5,2090;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2011/12;0,0000;103,1358;103,1358;0,0000;1.196,6560;1.196,6560;37.076,28461;16,5552;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-3-BAS;7MNT3BAS            ;MANATI;Petrobras;480000035189782;2011/12;0,0000;71,8976;71,8976;0,0000;819,8453;819,8453;25.401,46574;11,3415;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2011/12;0,0000;62,9265;62,9265;0,0000;527,3053;527,3053;16.337,62687;6,6307;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-5D-BAS;7MNT5DBAS           ;MANATI;Petrobras;480000035189782;2011/12;0,0000;95,7609;95,7609;0,0000;1.134,2243;1.134,2243;35.141,94696;15,6925;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-6D-BAS;7MNT6DBAS           ;MANATI;Petrobras;480000035189782;2011/12;0,0000;99,7487;99,7487;0,0000;1.133,2519;1.133,2519;35.111,82009;15,6785;PLATAFORMA DE MANATI 1;UEP;0
Espírito Santo;Espírito Santo;7-CMR-1H-ESS;7CMR1HESS           ;CAMARUPIM NORTE;Petrobras;480000035359700;2011/12;0,0000;1.384,0425;1.384,0425;0,0000;1.072,3994;1.072,3994;33.228,12260;0,6721;FPSO CIDADE SÃO MATEUS;UEP;0
Espírito Santo;Espírito Santo;7-CMR-1H-ESS;7CMR1HESS           ;CAMARUPIM;Petrobras;480000035359700;2011/12;0,0000;607,5718;607,5718;0,0000;470,7656;470,7656;14.586,59795;0,2951;FPSO CIDADE SÃO MATEUS;UEP;0
Espírito Santo;Espírito Santo;4-BRSA-265-ESS;4ESS138             ;CANAPU;Petrobras;480000035359700;2011/12;454,8541;0,0000;454,8541;900,1710;0,0000;900,1710;27.905,30186;1,0713;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;4-BRSA-249-ESS;4ESS132             ;GOLFINHO;Petrobras;480000035359700;2011/12;0,0000;1.204,3972;1.204,3972;0,0000;265,0912;265,0912;8.181,75734;3,6653;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-1HA-ESS;7GLF1HAESS          ;GOLFINHO;Petrobras;480000035359700;2011/12;3.545,9922;0,0000;3.545,9922;21,6413;0,0000;21,6413;667,93726;8.263,6429;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-8H-ESS;7GLF8HESS           ;GOLFINHO;Petrobras;480000035359700;2011/12;3.206,3518;0,0000;3.206,3518;34,9669;0,0000;34,9669;1.079,21635;6.930,6035;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-13H-ESS;7GLF13HESS          ;GOLFINHO;Petrobras;480000035359700;2011/12;2.069,4798;0,0000;2.069,4798;15,1591;0,0000;15,1591;467,86933;5.776,3048;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-27HA-ESS;7GLF27HAESS         ;GOLFINHO;Petrobras;480000035359700;2011/12;9.868,9582;0,0000;9.868,9582;62,0424;0,0000;62,0424;1.914,87326;12.342,2330;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Espírito Santo;7-GLF-28HA-ESS;7GLF28HAESS         ;GOLFINHO;Petrobras;480000035359700;2011/12;6.566,3727;0,0000;6.566,3727;42,0784;0,0000;42,0784;1.298,70557;13.310,0544;FPSO CIDADE DE VITÓRIA;UEP;0
Espírito Santo;Campos;7-OST-1H-ESS;7OST1HESS           ;OSTRA;Shell Brasil;480000035529711;2011/12;6.409,3213;0,0000;6.409,3213;341,3026;0,0000;341,3026;3.351,38074;7.958,4096;FPSO ESPIRITO SANTO;UEP;733
Espírito Santo;Campos;7-OST-10H-ESS;7OST10HESS          ;OSTRA;Shell Brasil;480000035529711;2011/12;5.866,6796;0,0000;5.866,6796;51,4773;0,0000;51,4773;505,47549;0,0000;FPSO ESPIRITO SANTO;UEP;738
Espírito Santo;Campos;7-OST-2H-ESS;7OST2HESS           ;OSTRA;Shell Brasil;480000035529711;2011/12;8.754,7893;0,0000;8.754,7893;83,8602;0,0000;83,8602;823,45577;15.473,6853;FPSO ESPIRITO SANTO;UEP;734
Espírito Santo;Campos;7-OST-3H-ESS;7OST3HESS           ;OSTRA;Shell Brasil;480000035529711;2011/12;12.812,1892;0,0000;12.812,1892;110,5021;0,0000;110,5021;1.085,06258;500,5867;FPSO ESPIRITO SANTO;UEP;739
Espírito Santo;Campos;7-OST-9H-ESS;7OST9HESS           ;OSTRA;Shell Brasil;480000035529711;2011/12;3.895,7865;0,0000;3.895,7865;27,0391;0,0000;27,0391;265,50681;9.332,0278;FPSO ESPIRITO SANTO;UEP;740
Espírito Santo;Campos;7-OST-6H-ESS;7OST6HESS           ;OSTRA;Shell Brasil;480000035529711;2011/12;8.660,7067;0,0000;8.660,7067;57,8605;0,0000;57,8605;568,15421;5.747,9654;FPSO ESPIRITO SANTO;UEP;738
Espírito Santo;Campos;7-OST-7H-ESS;7OST7HESS           ;OSTRA;Shell Brasil;480000035529711;2011/12;1.362,1650;0,0000;1.362,1650;8,5297;0,0000;8,5297;83,75674;1.198,2922;FPSO ESPIRITO SANTO;UEP;737
