ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Alagoas;Alagoas;4-ALS-39-AL;4ALS 0039  AL       ;PARU;Petrobras;480000038409775;2014/07;0,0000;332,0066;332,0066;0,0000;217,0683;217,0683;6.729,11800;0,0000;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-137-BA;7C   0137  BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;21,4598;0,0000;21,4598;6,3553;0,0000;6,3553;0,00000;0,0485;FPSO FRADE;UEP;707
Bahia;Recôncavo;7-C-170-BA;7C   0170  BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;16,9521;0,0000;16,9521;1,9065;0,0000;1,9065;0,00000;0,0824;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;21,0076;0,0000;21,0076;2,2997;0,0000;2,2997;0,00000;0,0174;FPSO FRADE;UEP;708
Bahia;Recôncavo;7-C-174D-BA;7C   0174D BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;11,2780;0,0000;11,2780;1,0571;0,0000;1,0571;0,00000;0,3453;FPSO FRADE;UEP;711
Bahia;Recôncavo;7-C-185-BA;7C   0185  BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;14,1091;0,0000;14,1091;0,5290;0,0000;0,5290;0,00000;0,1396;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-197D-BA;7C   0197D BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;28,2195;0,0000;28,2195;5,8465;0,0000;5,8465;0,00000;0,0000;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-201D-BA;7C   0201D BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;5,0471;0,0000;5,0471;4,7312;0,0000;4,7312;0,00000;0,0225;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-202D-BA;7C   0202D BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;26,0039;0,0000;26,0039;13,6273;0,0000;13,6273;0,00000;0,0779;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-C-211D-BA;7C   0211D BA       ;CANDEIAS;Petrobras;480000036389734;2014/07;8,3403;0,0000;8,3403;1,5682;0,0000;1,5682;0,00000;0,0132;FPSO FRADE;UEP;0
Bahia;Recôncavo;8-DJM-881H-BAS;8DJM881HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/07;8,6174;0,0000;8,6174;0,0110;0,0000;0,0110;0,33965;147,2869;FPSO FRADE;UEP;0
Bahia;Recôncavo;7-DJM-854H-BAS;7DJM854HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/07;33,2786;0,0000;33,2786;0,0423;0,0000;0,0423;1,31202;284,2284;FPSO Fluminense;UEP;0
Bahia;Recôncavo;7-DJM-856H-BAS;7DJM856HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/07;35,7316;0,0000;35,7316;0,0454;0,0000;0,0454;1,40873;754,1229;FPSO Fluminense;UEP;743
Bahia;Recôncavo;7-DJM-857H-BAS;7DJM857HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/07;45,6068;0,0000;45,6068;0,0580;0,0000;0,0580;1,79810;520,1162;FPSO Fluminense;UEP;743
Bahia;Recôncavo;7-DJM-882H-BAS;7DJM882HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/07;19,1480;0,0000;19,1480;0,0244;0,0000;0,0244;0,75489;85,7415;FPSO Fluminense;UEP;0
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2014/07;0,0000;78,9134;78,9134;0,0000;1.080,6886;1.080,6886;33.486,67519;14,9507;FPSO Fluminense;UEP;0
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2014/07;0,0000;102,0319;102,0319;0,0000;1.020,3931;1.020,3931;31.618,33379;14,1164;FPSO Fluminense;UEP;743
Bahia;Camamu;7-MNT-3-BAS;7MNT3BAS            ;MANATI;Petrobras;480000035189782;2014/07;0,0000;71,3147;71,3147;0,0000;678,0718;678,0718;21.011,01926;9,3801;FPSO Fluminense;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2014/07;0,0000;95,7260;95,7260;0,0000;950,4764;950,4764;29.451,86300;11,9533;FPSO Fluminense;UEP;742
Bahia;Camamu;7-MNT-5D-BAS;7MNT5DBAS           ;MANATI;Petrobras;480000035189782;2014/07;0,0000;91,2623;91,2623;0,0000;930,0114;930,0114;28.817,72784;12,8661;FPSO Fluminense;UEP;0
Bahia;Camamu;7-MNT-6D-BAS;7MNT6DBAS           ;MANATI;Petrobras;480000035189782;2014/07;0,0000;111,3530;111,3530;0,0000;1.211,8225;1.211,8225;37.550,04687;16,7660;FPSO Polvo;UEP;704
Ceará;Ceará;7-CR-2D-CES;7CR  0002D CES      ;CURIMÃ;Petrobras;480000037769778;2014/07;137,3139;0,0000;137,3139;2,3312;0,0000;2,3312;70,66294;960,5739;FPSO Polvo;UEP;703
Ceará;Ceará;7-CR-6D-CES;7CR  0006D CES      ;CURIMÃ;Petrobras;480000037769778;2014/07;174,8145;0,0000;174,8145;3,8405;0,0000;3,8405;116,41097;174,8145;FPSO Polvo;UEP;703
