ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Rio de Janeiro;Campos;7-SA-3HPA-RJS;7SAEZ               ;SALEMA;Shell Brasil;480000037109760;2012/10;0,0016;0,0000;0,0016;0,0000;0,0000;0,0000;0,00152;0,0420;FPSO Fluminense;UEP;0
Rio de Janeiro;Campos;7-SA-5HP-RJS;7SAF                ;SALEMA;Shell Brasil;480000037109760;2012/10;0,0053;0,0000;0,0053;0,0002;0,0000;0,0002;0,00484;0,0639;FPSO Fluminense;UEP;0
Rio de Janeiro;Campos;7-SA-7HP-RJS;7SA7HPRJS           ;SALEMA;Shell Brasil;480000037109760;2012/10;5.177,9879;0,0000;5.177,9879;87,3709;0,0000;87,3709;2.686,94296;7.939,9063;FPSO Fluminense;UEP;743
Espírito Santo;Campos;7-OST-1H-ESS;7OST1HESS           ;OSTRA;Shell Brasil;480000035529711;2012/10;3.332,4718;0,0000;3.332,4718;299,3302;0,0000;299,3302;3.309,51915;4.381,9443;FPSO ESPIRITO SANTO;UEP;740
Espírito Santo;Campos;7-OST-10H-ESS;7OST10HESS          ;OSTRA;Shell Brasil;480000035529711;2012/10;6.106,2785;0,0000;6.106,2785;62,2713;0,0000;62,2713;688,49730;23,3918;FPSO ESPIRITO SANTO;UEP;740
Espírito Santo;Campos;7-OST-2H-ESS;7OST2HESS           ;OSTRA;Shell Brasil;480000035529711;2012/10;3.989,6805;0,0000;3.989,6805;45,8015;0,0000;45,8015;506,40085;16.005,8875;FPSO ESPIRITO SANTO;UEP;740
Espírito Santo;Campos;7-OST-3H-ESS;7OST3HESS           ;OSTRA;Shell Brasil;480000035529711;2012/10;7.141,3514;0,0000;7.141,3514;63,2979;0,0000;63,2979;699,84759;4.057,1462;FPSO ESPIRITO SANTO;UEP;665
Espírito Santo;Campos;7-OST-9H-ESS;7OST9HESS           ;OSTRA;Shell Brasil;480000035529711;2012/10;1.977,2710;0,0000;1.977,2710;17,7309;0,0000;17,7309;196,04015;10.793,5282;FPSO ESPIRITO SANTO;UEP;740
Espírito Santo;Campos;7-OST-6H-ESS;7OST6HESS           ;OSTRA;Shell Brasil;480000035529711;2012/10;6.233,0614;0,0000;6.233,0614;46,3689;0,0000;46,3689;512,67394;5.921,8803;FPSO ESPIRITO SANTO;UEP;668
